,Attrition,Gender,OverTime,SalesDpt,JobInvCut,MiddleTraining,MoovingPeople,NotSatif,LongDisWL1,LongDis,LongDisJobS1,LongDisJL1,ShortDisNotSingle,LongDisSingle,Engaged,YoungAndBadPaid,YoungNeverEngaged,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Education_1,Education_2,Education_3,Education_4,Education_5,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,EnvironmentSatisfaction_1,EnvironmentSatisfaction_2,EnvironmentSatisfaction_3,EnvironmentSatisfaction_4,JobInvolvement_1,JobInvolvement_2,JobInvolvement_3,JobInvolvement_4,JobLevel_1,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,JobSatisfaction_1,JobSatisfaction_2,JobSatisfaction_3,JobSatisfaction_4,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,RelationshipSatisfaction_1,RelationshipSatisfaction_2,RelationshipSatisfaction_3,RelationshipSatisfaction_4,StockOptionLevel_0,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,TrainingTimesLastYear_0,TrainingTimesLastYear_1,TrainingTimesLastYear_2,TrainingTimesLastYear_3,TrainingTimesLastYear_4,TrainingTimesLastYear_5,TrainingTimesLastYear_6,WorkLifeBalance_1,WorkLifeBalance_2,WorkLifeBalance_3,WorkLifeBalance_4,RelSatisf_mean_1.0,RelSatisf_mean_1.5,RelSatisf_mean_2.0,RelSatisf_mean_2.5,RelSatisf_mean_3.0,RelSatisf_mean_3.5,RelSatisf_mean_4.0,JobSatisf_mean_1.0,JobSatisf_mean_1.5,JobSatisf_mean_2.0,JobSatisf_mean_2.5,JobSatisf_mean_3.0,JobSatisf_mean_3.5,JobSatisf_mean_4.0,DailyRate,HourlyRate,MonthlyRate,PercentSalaryHike,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalSatisfaction_mean,Time_in_each_comp,Income_Distance,Hrate_Mrate,Stability,Income_YearsComp,Fidelity
0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.7425265337769018,1.3831382668932737,0.7260199409380492,-1.1505541015749308,-0.42164245835933756,-0.063295899399149,-0.6791456840737199,0.24583399463483546,-1.2388941783681606,-0.7742731311995583,1.3281069065459854,-0.33047141906023064,0.2234861759380362,-0.24173331311195798,1.7755085761221632
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.2977746019136118,-0.2406767700620191,1.4888761391146892,2.1293060069870897,-0.16451140099023315,0.7649976209279952,-0.3687152874355457,0.8065414765793012,0.16165012478579666,1.578035057392156,-0.4516844387937065,-0.7159186110142034,0.3289956154243091,-0.47338229946972726,-0.6204500331212056
2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.4143632382387843,1.2847252343505287,-1.6748408610979753,-0.057267398720923963,-0.5502079870438897,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,0.16165012478579666,-0.7558597598602885,-0.3174123304775668,5.114320097078638,0.0,-0.717984556762768,1.3951976857660724
3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.4614661806180305,-0.4867093514188816,1.2432105837696696,-1.1505541015749308,-0.42164245835933756,0.7649976209279952,0.2521455058408027,-1.1559347102263289,1.0953463268884363,0.031311864893494544,-0.34246537194666704,-0.720953507864548,0.8829201727272421,-0.5446054226337583,-0.5538956273088899
4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.5242947060017769,-1.2740136117608418,0.3258998974213038,-0.8772324258614291,-0.678773515728442,-0.6154915796172451,-0.058284890797371494,-0.5952272282818631,-0.3051979762655221,-1.090062449668035,-0.08827676978451357,-0.7230722852108735,1.2785805708007656,0.10879968133885509,3.106596692368479
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5020536174196967,0.645040522822686,-0.34419928329096944,-0.6039107501479274,-0.42164245835933756,0.7649976209279952,0.2521455058408027,0.5261877356070683,1.0953463268884363,1.0946840597363243,-0.15478926926000072,-0.03317289461177158,1.2785805708007656,-0.5090066326817184,-0.8866676563704688
6,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.2928872289449382,0.743453555365431,-0.6112270608399039,1.3093409798465847,0.09261965637887129,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,-1.2388941783681606,0.282654383674527,-0.3689595175710694,0.20531362954833712,-1.8867026137874223,0.5550915192068593,0.0007244211270750696
7,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.3771767047814845,0.05456232756621595,-0.1374635670938734,1.855984331273588,-1.3216011591512031,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,0.6284982258371165,-0.25869873370000446,-0.6276238566770941,-0.2982515151827862,-1.8867026137874223,0.5660580921459234,1.7755085761221632
8,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.4539580424342708,-1.0771875466753518,-0.7766437419846911,1.5826626555600865,-0.16451140099023315,0.7649976209279952,-0.3687152874355457,1.086895217551534,0.16165012478579666,2.2547264541103202,-0.5272014293666631,-0.30100453985936987,0.5751843075589461,-0.21331028711288585,-0.8866676563704688
9,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.230909673182772,1.3831382668932737,0.31817014596593995,-0.6039107501479274,0.7354472998016324,0.7649976209279952,1.4938670923934996,0.8065414765793012,-0.3051979762655221,-0.7834798168691931,-0.6004353328752972,-0.19345846370200895,1.2785805708007656,-0.3612644171237665,0.05292395509751894
